,LEGALS,SCORE
1225,jaywalking,1.0
1226,JD,1.0
1227,jeopardy,1.0
1228,jobber,1.0
1229,John Doe,1.0
1230,joinder,1.0
1231,joinder of issue,1.0
1232,joint,1.0
1233,joint adventure,1.0
1234,joint and several,1.0
1235,joint custody,1.0
1236,joint enterprise,1.0
1237,joint liability,1.0
1238,joint powers agreement,1.0
1239,joint tenancy,1.0
1240,joint tortfeasors,1.0
1241,joint venture,1.0
1242,Jones Act,1.0
1243,judge,1.0
1244,judge advocate,1.0
1245,judge advocate general,1.0
1246,judgment,1.0
1247,judgment by default,1.0
1248,judgment creditor,1.0
1249,judgment debt,1.0
1250,judgment debtor,1.0
1251,judgment notwithstanding the verdict,1.0
1252,judicial,1.0
1253,judicial discretion,1.0
1254,judicial foreclosure,1.0
1255,judicial notice,1.0
1256,judicial proceedings,1.0
1257,judicial sale,1.0
1258,jump bail,1.0
1259,jurat,1.0
1260,Juris Doctor,1.0
1261,jurisdiction,1.0
1262,jurisdictional amount,1.0
1263,jurisprudence,1.0
1264,jurist,1.0
1265,juror,1.0
1266,jury,1.0
1267,jury box,1.0
1268,jury fees,1.0
1269,jury of one's peers,1.0
1270,jury panel,1.0
1271,jury selection,1.0
1272,jury stress,1.0
1273,jury tampering,1.0
1274,jury trial,1.0
1275,just compensation,1.0
1276,justice,1.0
1277,justice of the peace,1.0
1278,justiciable,1.0
1279,justifiable homicide,1.0
1280,juvenile court,1.0
1281,juvenile delinquent,1.0
1282,K,1.0
1283,kangaroo court,1.0
1284,kidnapping,1.0
1285,kin,1.0
1286,labor and materials,1.0
1287,laches,1.0
1288,land,1.0
1289,landlady,1.0
1290,landlocked,1.0
1291,landlord,1.0
1292,landlord and tenant,1.0
1293,landlord's lien,1.0
1294,lapse,1.0
1295,larceny,1.0
1296,last antecedent rule,1.0
1297,last clear chance,1.0
1298,last will and testament,1.0
1299,latent defect,1.0
1300,lateral support,1.0
1301,law,1.0
1302,law and motion calendar,1.0
1303,law book,1.0
1304,law of admiralty,1.0
1305,law of the case,1.0
1306,law of the land,1.0
1307,lawsuit,1.0
1308,lay a foundation,1.0
1309,leading,1.0
1310,leading question,1.0
1311,leading the witness,1.0
1312,lease,1.0
1313,leasehold,1.0
1314,legacy,1.0
1315,legal,1.0
1316,legal action,1.0
1317,legal advertising,1.0
1318,legal age,1.0
1319,legal aid society,1.0
1320,legal duty,1.0
1321,legal fiction,1.0
1322,legal separation,1.0
1323,legal services,1.0
1324,legal tender,1.0
1325,legalese,1.0
1326,legatee,1.0
1327,legitimate,1.0
1328,lemon law,1.0
1329,lessee,1.0
1330,lesser crime,1.0
1331,lesser-included offense,1.0
1332,lessor,1.0
1333,let,1.0
1334,letter of credit,1.0
1335,letters,1.0
1336,letters of administration,1.0
1337,letters testamentary,1.0
1338,leverage,1.0
1339,levy,1.0
1340,lewd and lascivious,1.0
1341,liability,1.0
1342,liable,1.0
1343,libel,1.0
1344,libel per se,1.0
1345,liberty,1.0
1346,license,1.0
1347,licensee,1.0
1348,licensor,1.0
1349,lie detector test,1.0
1350,lien,1.0
1351,lienor,1.0
1352,life estate,1.0
1353,life without possibility of parole,1.0
1354,limitation of actions,1.0
1355,limited jurisdiction,1.0
1356,limited liability,1.0
1357,limited partnership,1.0
1358,lineal descendant,1.0
1359,lineup,1.0
1360,liquidate,1.0
1361,liquidated damages,1.0
1362,lis pendens,1.0
1363,literary property,1.0
1364,litigant,1.0
1365,litigation,1.0
1366,litigious,1.0
1367,living trust,1.0
1368,living will,1.0
1369,locus,1.0
1370,loiter,1.0
1371,long cause,1.0
1372,long-arm statute,1.0
1373,loss,1.0
1374,loss of bargain,1.0
1375,loss of consortium,1.0
1376,loss of use,1.0
1377,lower court,1.0
1378,M'Naughten rule,1.0
1379,M. O.,1.0
1380,magistrate,1.0
1381,Magna Carta,1.0
1382,mail box rule,1.0
1383,maim,1.0
1384,majority,1.0
1385,make,1.0
1386,make one whole,1.0
1387,maker,1.0
1388,malfeasance,1.0
1389,malice,1.0
1390,malice aforethought,1.0
1391,malicious prosecution,1.0
1392,malpractice,1.0
1393,malum in se,1.0
1394,malum prohibitum,1.0
1395,mandamus,1.0
1396,mandate,1.0
1397,mandatory,1.0
1398,mandatory joinder,1.0
1399,manifest,1.0
1400,Mann Act,1.0
1401,manslaughter,1.0
1402,marital deduction,1.0
1403,marital rights,1.0
1404,maritime law,1.0
1405,mark,1.0
1406,marked for identification,1.0
1407,market value,1.0
1408,marketable title,1.0
1409,marriage,1.0
1410,marshal,1.0
1411,martial law,1.0
1412,Massachusetts Trust,1.0
1413,master,1.0
1414,master and servant,1.0
1415,material,1.0
1416,material representation,1.0
1417,material witness,1.0
1418,matter of record,1.0
1419,maturity,1.0
1420,maxims,1.0
1421,may,1.0
1422,mayhem,1.0
1423,McNabb-Mallory rule,1.0
1424,mechanic's lien,1.0
1425,mediation,1.0
1426,mediator,1.0
1427,meet and confer,1.0
1428,meeting of the minds,1.0
1429,memorandum,1.0
1430,mens rea,1.0
1431,mental anguish,1.0
1432,mental competency,1.0
1433,mental cruelty,1.0
1434,mental suffering,1.0
1435,mercantile law,1.0
1436,merchantable,1.0
1437,merger,1.0
1438,mesne,1.0
1439,mesne profits,1.0
1440,metes and bounds,1.0
1441,military law,1.0
1442,mining claim,1.0
1443,ministerial act,1.0
1444,minor,1.0
1445,minority,1.0
1446,minutes,1.0
1447,Miranda warning,1.0
1448,mirror  wills,1.0
1449,misadventure,1.0
1450,misappropriation,1.0
1451,misdemeanor,1.0
1452,misfeasance,1.0
1453,misjoinder,1.0
1454,misnomer,1.0
1455,misprision of a felony,1.0
1456,misrepresentation,1.0
1457,mistake,1.0
1458,mistrial,1.0
1459,mitigating circumstances,1.0
1460,mitigation of damages,1.0
1461,modification,1.0
1462,modus operandi,1.0
1463,moiety,1.0
1464,molestation,1.0
1465,monopoly,1.0
1466,month-to-month,1.0
1467,monument,1.0
1468,moot,1.0
1469,moot court,1.0
1470,moot point,1.0
1471,moral certainty,1.0
1472,moral turpitude,1.0
1473,moratorium,1.0
1474,mortgage,1.0
1475,mortgagee,1.0
1476,mortgagor,1.0
1477,motion,1.0
1478,motion for a new trial,1.0
1479,motion for a summary judgment,1.0
1480,motion for dismissal,1.0
1481,motion in limine,1.0
1482,motion to strike,1.0
1483,motion to suppress,1.0
1484,motive,1.0
1485,mouthpiece,1.0
1486,movant,1.0
1487,move,1.0
1488,multifarious,1.0
1489,multiplicity of suits,1.0
1490,municipal,1.0
1491,municipal court,1.0
1492,muniment of title,1.0
1493,murder,1.0
1494,mutual,1.0
1495,mutual wills,1.0
1496,N.O.V.,1.0
1497,National Labor Relations Board,1.0
1498,natural law,1.0
1499,natural person,1.0
1500,necessary,1.0
1501,necessary inference,1.0
1502,necessary party,1.0
1503,negative declaration,1.0
1504,negative pregnant,1.0
1505,negligence,1.0
1506,negligence per se,1.0
1507,negligent,1.0
1508,negotiable instrument,1.0
1509,negotiation,1.0
1510,net,1.0
1511,net estate,1.0
1512,new matter,1.0
1513,next friend,1.0
1514,next of kin,1.0
1515,nihil,1.0
1516,nil,1.0
1517,nisi prius,1.0
1518,no contest,1.0
1519,no fault divorce,1.0
1520,no fault insurance,1.0
1521,no-par stock,1.0
1522,nolle prosequi,1.0
1523,nolo contendere,1.0
1524,nominal damages,1.0
1525,nominal party,1.0
1526,nominee,1.0
1527,non compos mentis,1.0
1528,non sequitur,1.0
1529,non-conforming use,1.0
1530,non-contestability clause,1.0
1531,non-contiguous,1.0
1532,non-discretionary trust,1.0
1533,non-feasance,1.0
1534,non-profit corporation,1.0
1535,non-suit,1.0
1536,not guilty,1.0
1537,not guilty by reason of insanity,1.0
1538,notary,1.0
1539,notary public,1.0
1540,note,1.0
1541,notice,1.0
1542,notice of default,1.0
1543,notice to quit,1.0
1544,notorious possession,1.0
1545,novation,1.0
1546,noxious,1.0
1547,nugatory,1.0
1548,nuisance,1.0
1549,nullity,1.0
1550,nunc pro tunc,1.0
1551,O.R.,1.0
1552,O.S.C.,1.0
1553,oath,1.0
1554,obiter dicta,1.0
1555,object,1.0
1556,objection,1.0
1557,obligation,1.0
1558,obligee,1.0
1559,obligor,1.0
1560,obscene,1.0
1561,obstruction of justice,1.0
1562,occupancy,1.0
1563,occupant,1.0
1564,occupation,1.0
1565,occupational disease,1.0
1566,occupational hazard,1.0
1567,occupy the field,1.0
1568,of counsel,1.0
1569,off calendar,1.0
1570,offender,1.0
1571,offense,1.0
1572,offer,1.0
1573,offer of proof,1.0
1574,offeree,1.0
1575,offeror,1.0
1576,officer,1.0
1577,officer of the court,1.0
1578,official,1.0
1579,official misconduct,1.0
1580,officious intermeddler,1.0
1581,offset,1.0
1582,offshore corporation,1.0
1583,omission,1.0
1584,omnibus clause,1.0
1585,on all fours,1.0
1586,on demand,1.0
1587,on file,1.0
1588,on or about,1.0
1589,on or before,1.0
1590,on the merits,1.0
1591,on the stand,1.0
1592,open court,1.0
1593,opening statement,1.0
1594,operation of law,1.0
1595,opinion,1.0
1596,option,1.0
1597,or,1.0
1598,oral contract,1.0
1599,order,1.0
1600,order to show cause,1.0
1601,ordinance,1.0
1602,ordinary,1.0
1603,ordinary course of business,1.0
1604,original jurisdiction,1.0
1605,orphan,1.0
1606,ostensible agent,1.0
1607,ostensible authority,1.0
1608,ouster,1.0
1609,out of court,1.0
1610,out-of-pocket expenses,1.0
1611,outbuilding,1.0
1612,outlaw,1.0
1613,output contract,1.0
1614,overcharge,1.0
1615,overrule,1.0
1616,overt act,1.0
1617,owe,1.0
1618,own,1.0
1619,own recognizance,1.0
1620,owner,1.0
1621,ownership,1.0
1622,paid into court,1.0
1623,pain and suffering,1.0
1624,palimony,1.0
1625,pander,1.0
1626,panderer,1.0
1627,panel,1.0
1628,paper hanger,1.0
1629,par,1.0
1630,paralegal,1.0
1631,paramount title,1.0
1632,parcel,1.0
1633,pardon,1.0
1634,parens patriae,1.0
1635,parent,1.0
1636,parental neglect,1.0
1637,pari delicto,1.0
1638,parish,1.0
1639,parody,1.0
1640,parol,1.0
1641,parol evidence rule,1.0
1642,parole,1.0
1643,partial,1.0
1644,partial breach,1.0
1645,partial disability,1.0
1646,partial verdict,1.0
1647,participate,1.0
1648,partition,1.0
1649,partner,1.0
1650,partnership,1.0
1651,party,1.0
1652,party of the first part,1.0
1653,party of the second part,1.0
1654,party wall,1.0
1655,passenger,1.0
1656,passion,1.0
1657,passive,1.0
1658,patent,1.0
1659,patent ambiguity,1.0
1660,patent defect,1.0
1661,patent infringement,1.0
1662,patent pending,1.0
1663,paternity suit,1.0
1664,pawn,1.0
1665,pay,1.0
1666,payable,1.0
1667,payable on demand,1.0
1668,payee,1.0
1669,payment in due course,1.0
1670,payment in full,1.0
1671,payor,1.0
1672,peace bond,1.0
1673,peaceable possession,1.0
1674,peculation,1.0
1675,pecuniary,1.0
1676,pedophilia,1.0
1677,peeping tom,1.0
1678,peer,1.0
1679,peer review,1.0
1680,penal,1.0
1681,penalty,1.0
1682,pendent jurisdiction,1.0
1683,pendente lite,1.0
1684,penitentiary,1.0
1685,people,1.0
1686,per,1.0
1687,per capita,1.0
1688,per curiam,1.0
1689,per diem,1.0
1690,per se,1.0
1691,per stirpes,1.0
1692,peremptory,1.0
1693,peremptory challenge,1.0
1694,peremptory writ of mandate,1.0
1695,perfect,1.0
1696,perfected,1.0
1697,perform,1.0
1698,performance,1.0
1699,perjurer,1.0
1700,perjury,1.0
1701,permanent disability,1.0
1702,permanent injunction,1.0
1703,permanent injury,1.0
1704,permissive,1.0
1705,permit,1.0
1706,perpetuity,1.0
1707,person,1.0
1708,personal effects,1.0
1709,personal property,1.0
1710,personal service,1.0
1711,personal services,1.0
1712,personalty,1.0
1713,petit jury,1.0
1714,petition,1.0
1715,petitioner,1.0
1716,petty larceny,1.0
1717,physician-patient privilege,1.0
1718,picketing,1.0
1719,pierce the corporate veil,1.0
1720,pilferage,1.0
1721,pimp,1.0
1722,pink slip,1.0
1723,piracy,1.0
1724,plagiarism,1.0
1725,plain error,1.0
1726,plain view doctrine,1.0
1727,plaintiff,1.0
1728,plaintiff's attorney,1.0
1729,plea,1.0
1730,plea bargain,1.0
1731,plea in abatement,1.0
1732,plead,1.0
1733,pleading,1.0
1734,pledge,1.0
1735,plenary,1.0
1736,police court,1.0
1737,police powers,1.0
1738,political question,1.0
1739,polygamy,1.0
1740,polygraph,1.0
1741,pornography,1.0
1742,positive law,1.0
1743,posse comitatus,1.0
1744,possess,1.0
1745,possession,1.0
1746,possession of stolen goods,1.0
1747,possessory interest,1.0
1748,possibility of a reverter,1.0
1749,post,1.0
1750,post mortem,1.0
1751,postdated check,1.0
1752,pot,1.0
1753,pour over will,1.0
1754,power,1.0
1755,power of acceptance,1.0
1756,power of appointment,1.0
1757,power of attorney,1.0
1758,practicable,1.0
1759,practice,1.0
1760,pray,1.0
1761,prayer,1.0
1762,precatory,1.0
1763,precedent,1.0
1764,predecease,1.0
1765,preemption,1.0
1766,preemptive right,1.0
1767,preference,1.0
1768,preferred dividend,1.0
1769,preferred stock,1.0
1770,preliminary hearing,1.0
1771,preliminary injunction,1.0
1772,premeditation,1.0
1773,premises,1.0
1774,premium,1.0
1775,prenuptial agreement,1.0
1776,preponderance of the evidence,1.0
1777,prerogative writ,1.0
1778,prescription,1.0
1779,prescriptive easement,1.0
1780,presentment,1.0
1781,presiding judge,1.0
1782,presumption,1.0
1783,presumption of innocence,1.0
1784,pretermitted heir,1.0
1785,pretrial discovery,1.0
1786,prevailing party,1.0
1787,price fixing,1.0
1788,prima facie,1.0
1789,prima facie case,1.0
1790,prime suspect,1.0
1791,primogeniture,1.0
1792,principal,1.0
1793,principal place of business,1.0
1794,prior restraint,1.0
1795,prior(s),1.0
1796,priority,1.0
1797,privacy,1.0
1798,private carrier,1.0
1799,private nuisance,1.0
1800,private parts,1.0
1801,private property,1.0
1802,private road,1.0
1803,privilege,1.0
1804,privilege against self incrimina-tion,1.0
1805,privileged communication,1.0
1806,privileges and immunities,1.0
1807,privity,1.0
1808,pro bono,1.0
1809,pro forma,1.0
1810,pro hac vice,1.0
1811,pro per,1.0
1812,pro rata,1.0
1813,pro se,1.0
1814,pro tanto,1.0
1815,pro tem,1.0
1816,pro tempore,1.0
1817,probable cause,1.0
1818,probate,1.0
1819,probation,1.0
1820,probative,1.0
1821,probative facts,1.0
1822,probative value,1.0
1823,procedure,1.0
1824,proceeding,1.0
1825,process,1.0
1826,process server,1.0
1827,proctor,1.0
1828,product liability,1.0
1829,professional corporation,1.0
1830,professional negligence,1.0
1831,proffer,1.0
1832,prohibition,1.0
1833,promise,1.0
1834,promissory estoppel,1.0
1835,promissory note,1.0
1836,promoter,1.0
1837,promotional stock,1.0
1838,proof,1.0
1839,proper party,1.0
1840,property,1.0
1841,property damage,1.0
1842,property tax,1.0
1843,propria persona,1.0
1844,proprietary,1.0
1845,proprietary interest,1.0
1846,proprietary rights,1.0
1847,proprietor,1.0
1848,prosecute,1.0
1849,prosecution,1.0
1850,prosecutor,1.0
1851,prospectus,1.0
1852,prostitute,1.0
1853,prostitution,1.0
1854,protective custody,1.0
1855,protest,1.0
1856,prove,1.0
1857,provisional remedy,1.0
1858,proviso,1.0
1859,proximate cause,1.0
1860,proxy,1.0
1861,prudent man rule,1.0
1862,public,1.0
1863,public administrator,1.0
1864,public benefit corporation,1.0
1865,public charge,1.0
1866,public corporation,1.0
1867,public defender,1.0
1868,public domain,1.0
1869,public easement,1.0
1870,public figure,1.0
1871,public nuisance,1.0
1872,public property,1.0
1873,public record,1.0
1874,public trust doctrine,1.0
1875,public use,1.0
1876,public utility,1.0
1877,publication,1.0
1878,publish,1.0
1879,puffing,1.0
1880,punitive damages,1.0
1881,putative,1.0
1882,quantum meruit,1.0
1883,quash,1.0
1884,quasi,1.0
1885,quasi community property,1.0
1886,quasi contract,1.0
1887,quasi corporation,1.0
1888,quasi in rem,1.0
1889,quasi-criminal,1.0
1890,quasi-judicial,1.0
1891,Queen's Bench,1.0
1892,query,1.0
1893,question of fact,1.0
1894,question of law,1.0
1895,qui tam action,1.0
1896,quid pro quo,1.0
1897,quiet enjoyment,1.0
1898,quiet title action,1.0
1899,quit,1.0
1900,quitclaim deed,1.0
1901,quo warranto,1.0
1902,quorum,1.0
1903,quotient verdict,1.0
1904,race to the courthouse,1.0
1905,Racketeer Influenced Corrupt Organization (RICO) statue,1.0
1906,racketeering,1.0
1907,ransom,1.0
1908,rape,1.0
1909,ratable,1.0
1910,ratification,1.0
1911,ratify,1.0
1912,rational basis,1.0
1913,"ready, willing and able",1.0
1914,real estate,1.0
1915,real estate investment trust,1.0
1916,real party in interest,1.0
1917,real property,1.0
1918,realty,1.0
1919,reasonable,1.0
1920,reasonable care,1.0
1921,reasonable doubt,1.0
1922,reasonable reliance,1.0
1923,reasonable speed,1.0
1924,reasonable time,1.0
1925,reasonable wear and tear,1.0
1926,rebate,1.0
1927,rebuttable presumption,1.0
1928,rebuttal,1.0
1929,recapture,1.0
1930,receipt,1.0
1931,receiver,1.0
1932,receivership,1.0
1933,recess,1.0
1934,recidivist,1.0
1935,reciprocal discovery,1.0
1936,reciprocity,1.0
1937,reckless,1.0
1938,reckless disregard,1.0
1939,reckless driving,1.0
1940,reconveyance,1.0
1941,record,1.0
1942,recording acts,1.0
1943,records,1.0
1944,recoupment,1.0
1945,recourse,1.0
1946,recover,1.0
1947,recoverable,1.0
1948,recovery,1.0
1949,recusal,1.0
1950,recuse,1.0
1951,redeem,1.0
1952,redemption,1.0
1953,reentry,1.0
1954,referee,1.0
1955,referendum,1.0
1956,reformation,1.0
1957,refresh one's memory,1.0
1958,register,1.0
1959,registration statement,1.0
1960,registry of deeds,1.0
1961,regulations,1.0
1962,rehearing,1.0
1963,rejection of claim,1.0
1964,release,1.0
1965,release on one's own recognizance,1.0
1966,relevancy,1.0
1967,relevant,1.0
1968,reliance,1.0
1969,reliction,1.0
1970,relief,1.0
1971,remainder,1.0
1972,remainderman,1.0
1973,remand,1.0
1974,remedy,1.0
1975,remise,1.0
1976,remittitur,1.0
1977,remote,1.0
1978,removal,1.0
1979,renewal,1.0
1980,rent,1.0
1981,rental value,1.0
1982,renunciation,1.0
1983,reorganization,1.0
1984,repair,1.0
1985,repeal,1.0
1986,replevin,1.0
1987,reply brief,1.0
1988,reports,1.0
1989,repossess,1.0
1990,represent,1.0
1991,representation,1.0
1992,representative,1.0
1993,reprieve,1.0
1994,repudiation,1.0
1995,reputation,1.0
1996,reputed,1.0
1997,request,1.0
1998,requirements contract,1.0
1999,res,1.0
2000,res adjudicata,1.0
2001,res gestae,1.0
2002,res ipsa loquitur,1.0
2003,res judicata,1.0
2004,resale,1.0
2005,rescind,1.0
2006,rescission,1.0
2007,rescue doctrine,1.0
2008,reservation,1.0
2009,reserve,1.0
2010,reserve fund,1.0
2011,residence,1.0
2012,resident,1.0
2013,residuary bequest,1.0
2014,residue,1.0
2015,resisting arrest,1.0
2016,resolution,1.0
2017,respondeat superior,1.0
2018,respondent,1.0
2019,responsible,1.0
2020,Restatement of the Law,1.0
2021,restitution,1.0
2022,restraining order,1.0
2023,restraint of trade,1.0
2024,restraint on alienation,1.0
2025,restriction,1.0
2026,restrictive covenant,1.0
2027,restrictive endorsement,1.0
2028,result,1.0
2029,resulting trust,1.0
2030,retainer,1.0
2031,retire,1.0
2032,retraction,1.0
2033,retrial,1.0
2034,retroactive,1.0
2035,return of service,1.0
2036,revenue ruling,1.0
2037,reversal,1.0
2038,reversible error,1.0
2039,reversion,1.0
2040,reverter,1.0
2041,review,1.0
2042,revival,1.0
2043,revocation,1.0
2044,revoke,1.0
2045,RICO,1.0
2046,rider,1.0
2047,right,1.0
2048,right of way,1.0
2049,right to privacy,1.0
2050,rights,1.0
2051,riot,1.0
2052,riparian,1.0
2053,riparian rights,1.0
2054,ripe,1.0
2055,risk,1.0
2056,risk of loss,1.0
2057,roadside test,1.0
2058,robbery,1.0
2059,rogatory letters,1.0
2060,royalty,1.0
2061,rule,1.0
2062,rule against perpetuities,1.0
2063,rules of court,1.0
2064,ruling,1.0
2065,running at large,1.0
2066,running with the land,1.0
2067,said,1.0
2068,sale,1.0
2069,salvage,1.0
2070,sanction,1.0
2071,satisfaction,1.0
2072,satisfaction of judgment,1.0
2073,satisfaction of mortgage,1.0
2074,save harmless,1.0
2075,savings and loan,1.0
2076,scienter,1.0
2077,scintilla,1.0
2078,scope of employment,1.0
2079,scrivener,1.0
2080,seal,1.0
2081,sealed verdict,1.0
2082,sealing of records,1.0
2083,search,1.0
2084,search and seizure,1.0
2085,search warrant,1.0
2086,second degree murder,1.0
2087,secondary boycott,1.0
2088,secret rebate,1.0
2089,secured transaction,1.0
2090,securities,1.0
2091,security deposit,1.0
2092,security interest,1.0
2093,sedition,1.0
2094,seduction,1.0
2095,seisin,1.0
2096,seized,1.0
2097,seizure,1.0
2098,self-dealing,1.0
2099,self-defense,1.0
2100,self-executing,1.0
2101,self-help,1.0
2102,self-incrimination,1.0
2103,self-serving,1.0
2104,sell,1.0
2105,seller,1.0
2106,senior lien,1.0
2107,sentence,1.0
2108,separate property,1.0
2109,separation,1.0
2110,separation agreement,1.0
2111,sequester,1.0
2112,sequestration,1.0
2113,seriatim,1.0
2114,servant,1.0
2115,service,1.0
2116,service by FAX,1.0
2117,service by mail,1.0
2118,service by publication,1.0
2119,service of process,1.0
2120,services,1.0
2121,servient estate,1.0
2122,session,1.0
2123,set,1.0
2124,set aside,1.0
2125,setoff,1.0
2126,setting,1.0
2127,settle,1.0
2128,settlement,1.0
2129,settlor,1.0
2130,severable contract,1.0
2131,several liability,1.0
2132,severance,1.0
2133,sex offender,1.0
2134,sexual harassment,1.0
2135,shall,1.0
2136,share,1.0
2137,share and share alike,1.0
2138,shareholder,1.0
2139,shareholders' agreement,1.0
2140,shareholders' derivative action,1.0
2141,shareholders' meeting,1.0
2142,sharp practice,1.0
2143,Shepardize,1.0
2144,sheriff,1.0
2145,sheriff's sale,1.0
2146,shield laws,1.0
2147,shifting the burden of proof,1.0
2148,short cause,1.0
2149,shortening time,1.0
2150,show cause order,1.0
2151,sidebar,1.0
2152,sign,1.0
2153,silent partner,1.0
2154,similarly situated,1.0
2155,simple trust,1.0
2156,simultaneous death act,1.0
2157,sine qua non,1.0
2158,situs,1.0
2159,slander,1.0
2160,small claims court,1.0
2161,sodomy,1.0
2162,sole proprietorship,1.0
2163,solicitation,1.0
2164,solicitor,1.0
2165,Solicitor General,1.0
2166,solitary confinement,1.0
2167,solvency,1.0
2168,sound mind and memory,1.0
2169,sounds in,1.0
2170,speaking demurrer,1.0
2171,special,1.0
2172,special administrator,1.0
2173,special appearance,1.0
2174,special circumstances,1.0
2175,special damages,1.0
2176,special master,1.0
2177,special prosecutor,1.0
2178,special verdict,1.0
2179,specific bequest,1.0
2180,specific devise,1.0
2181,specific finding,1.0
2182,specific legacy,1.0
2183,specific performance,1.0
2184,speculative damages,1.0
2185,speedy trial,1.0
2186,spendthrift clause,1.0
2187,spontaneous exclamation,1.0
2188,spot zoning,1.0
2189,spousal support,1.0
2190,springing interest,1.0
2191,stakeholder,1.0
2192,standard of care,1.0
2193,standing,1.0
2194,star chamber proceedings,1.0
2195,stare decisis,1.0
2196,state,1.0
2197,state action,1.0
2198,state of domicile,1.0
2199,status conference,1.0
2200,statute,1.0
2201,statute of frauds,1.0
2202,statute of limitations,1.0
2203,statutory offer of settlement,1.0
2204,statutory rape,1.0
2205,stay,1.0
2206,stay away order,1.0
2207,stay of execution,1.0
2208,stipulation,1.0
2209,stock,1.0
2210,stock certificate,1.0
2211,stock in trade,1.0
2212,stock option,1.0
2213,stockholder,1.0
2214,stockholders' derivative action,1.0
2215,stop and frisk,1.0
2216,straw man,1.0
2217,street,1.0
2218,strict construction,1.0
2219,strict liability,1.0
2220,strike,1.0
2221,structure,1.0
2222,sua sponte,1.0
2223,subchapter S corporation,1.0
2224,subcontractor,1.0
2225,subject to,1.0
2226,sublease,1.0
2227,submitted,1.0
2228,subordination,1.0
2229,subordination agreement,1.0
2230,subornation of perjury,1.0
2231,subpena,1.0
2232,subpena duces tecum,1.0
2233,subpoena,1.0
2234,subrogation,1.0
2235,subrogee,1.0
2236,subrogor,1.0
2237,subscribe,1.0
2238,substantial performance,1.0
2239,substantive law,1.0
2240,substitute in,1.0
2241,substituted service,1.0
2242,substitution,1.0
2243,substitution of attorney,1.0
2244,succession,1.0
2245,successive sentences,1.0
2246,suffering,1.0
2247,sui generis,1.0
2248,suicide,1.0
2249,suit,1.0
2250,sum certain,1.0
2251,summary adjudication of issues,1.0
2252,summary judgment,1.0
2253,summation,1.0
2254,summons,1.0
2255,Superior Court,1.0
2256,supersedeas,1.0
2257,superseding cause,1.0
2258,supplemental,1.0
2259,suppression of evidence,1.0
2260,supra,1.0
2261,supremacy clause,1.0
2262,Supreme Court,1.0
2263,surcharge,1.0
2264,surety,1.0
2265,surplusage,1.0
2266,surrebutal,1.0
2267,surrender,1.0
2268,surrogate,1.0
2269,surrogate court,1.0
2270,survivor,1.0
2271,survivorship,1.0
2272,suspended sentence,1.0
2273,sustain,1.0
2274,swear,1.0
2275,swindle,1.0
2276,syndicate,1.0
2277,T.R.O.,1.0
2278,tainted evidence,1.0
2279,take,1.0
2280,taking the Fifth,1.0
2281,tangible property,1.0
2282,tax,1.0
2283,tax costs,1.0
2284,Tax Court,1.0
2285,tax evasion,1.0
2286,tax return,1.0
2287,tax sale,1.0
2288,temporary injunction,1.0
2289,temporary insanity,1.0
2290,tenancy,1.0
2291,tenancy at sufferance,1.0
2292,tenancy at will,1.0
2293,tenancy by the entirety,1.0
2294,tenancy in common,1.0
2295,tenant,1.0
2296,tender,1.0
2297,tenement,1.0
2298,tentative trust,1.0
2299,tenure,1.0
2300,term,1.0
2301,testacy,1.0
2302,testamentary,1.0
2303,testamentary capacity,1.0
2304,testamentary disposition,1.0
2305,testamentary trust,1.0
2306,testator,1.0
2307,testatrix,1.0
2308,testify,1.0
2309,testimony,1.0
2310,theft,1.0
2311,third party,1.0
2312,third-party beneficiary,1.0
2313,Thirty-day notice,1.0
2314,"three strikes, you're out",1.0
2315,three-day notice,1.0
2316,tide lands,1.0
2317,time is of the essence,1.0
2318,time served,1.0
2319,timely,1.0
2320,title,1.0
2321,title abstract,1.0
2322,title insurance,1.0
2323,title report,1.0
2324,title search,1.0
2325,to wit,1.0
2326,toll,1.0
2327,tontine,1.0
2328,tools of trade,1.0
2329,tort,1.0
2330,tort claims act,1.0
2331,tortfeasor,1.0
2332,tortious,1.0
2333,trade,1.0
2334,trade fixture,1.0
2335,trade name,1.0
2336,trade secret,1.0
2337,trademark,1.0
2338,trader,1.0
2339,transcript,1.0
2340,transfer,1.0
2341,transfer agent,1.0
2342,transfer in contemplation of death,1.0
2343,transferred intent,1.0
2344,treason,1.0
2345,treasury bill,1.0
2346,treasury bond,1.0
2347,treasury note,1.0
2348,treasury stock,1.0
2349,treaty,1.0
2350,treble damages,1.0
2351,trespass,1.0
2352,trial,1.0
2353,trial court,1.0
2354,trial de novo,1.0
2355,tribunal,1.0
2356,trier of fact,1.0
2357,triple net lease,1.0
2358,true bill,1.0
2359,trust,1.0
2360,trust deed,1.0
2361,trust fund,1.0
2362,trustee,1.0
2363,trustee in bankruptcy,1.0
2364,trustor,1.0
2365,Truth in Lending Act,1.0
2366,turn states' evidence,1.0
2367,Twinkie  defense,1.0
2368,UCC-1,1.0
2369,ultimate fact,1.0
2370,ultra vires,1.0
2371,ultrahazardous activity,1.0
2372,unclean hands,1.0
2373,unconscionable,1.0
2374,unconstitutional,1.0
2375,under the influence,1.0
2376,underwrite,1.0
2377,underwriter,1.0
2378,undisclosed principal,1.0
2379,undivided interest,1.0
2380,undue influence,1.0
